day,temp.,w_time,l_time,m_reach_time_,m_delay_time,m_arrival_time,m_deboard_time,o_reach_time,late
1,13.69,645,730,745,4,749,848,858,0
2,11.69,705,745,752,3,758,918,935,1
3,11.52,658,728,740,3,743,835,900,0
4,12.13,706,735,745,4,749,930,938,1
5,15.47,713,740,749,2,751,924,933,1
6,11.27,710,738,744,1,745,845,900,0
7,12.4,705,733,741,3,744,930,945,1
8,12.86,706,744,800,2,802,935,944,1
9,13.98,712,736,746,3,749,920,935,1
10,18.09,715,738,750,2,752,916,930,1
11,12.7,702,745,802,2,804,932,950,1
12,9.13,712,753,810,3,813,928,944,1
13,14.16,706,749,822,2,824,930,938,1
14,11.05,705,800,815,2,817,927,940,1
